fips,Station_C_1,Station_C_2,WBAN_C_1,WBAN_C_2,dist_f_1,dist_f_2,county,state,pop_density,pop
21091,724237,724237,53803,99999,22.15937469,22.52493597,Hancock,Kentucky,46.4358669,8722
21093,720451,724240,99999,13807,2.259835759,13.96504746,Hardin,Kentucky,177.9861232,110958
21095,720958,720768,99999,00274,7.746406114,14.02592511,Harlan,Kentucky,55.87912426,26010
21097,724220,720456,93820,00146,31.4447244,32.064576,Harrison,Kentucky,61.63053168,18886
21099,722322,722322,00361,99999,18.78819841,18.89925456,Hart,Kentucky,46.23039727,19035
21101,724238,724320,53886,93817,6.017033652,17.36023741,Henderson,Kentucky,103.5186811,45210
21103,724233,724233,53841,99999,21.63774236,21.84211298,Henry,Kentucky,56.38242086,16126
21105,999999,724350,63820,03816,20.60261579,28.39979507,Hickman,Kentucky,18.04895961,4380
21107,999999,720443,00421,99999,8.253057415,8.378254222,Hopkins,Kentucky,82.47671782,44686
21109,720455,720455,99999,00145,23.07473838,23.20450207,Jackson,Kentucky,38.62189862,13329
21111,724235,724235,99999,13810,2.122604688,2.829570487,Jefferson,Kentucky,2015.554411,766757
21113,724220,999999,93820,63838,11.75654716,17.86677302,Jessamine,Kentucky,314.4252357,54115
21115,720458,720464,00476,99999,12.50454566,24.44228134,Johnson,Kentucky,84.73923617,22188
21117,999999,724210,93814,93814,10.62964593,10.67894154,Kenton,Kentucky,1042.116871,166998
21119,720457,724133,99999,99999,17.06535818,25.35751127,Knott,Kentucky,42.11911171,14806
21121,999999,723290,03814,03849,16.29174025,18.31810254,Knox,Kentucky,80.59036163,31145
21123,720451,720446,99999,99999,15.75812954,21.46800565,Larue,Kentucky,55.08429508,14398
21125,723290,999999,03849,03814,2.781520445,9.964023751,Laurel,Kentucky,140.1254533,60813
21127,720458,724250,00476,03860,22.53407933,22.72756644,Lawrence,Kentucky,36.89214376,15317
21129,724190,720457,03889,99999,22.02622686,28.74422193,Lee,Kentucky,35.48033473,7403
21131,720958,720457,99999,99999,16.29378222,21.27133077,Leslie,Kentucky,24.62700265,9877
21133,724117,724117,63802,99999,20.16044556,20.17511944,Letcher,Kentucky,63.81776581,21553
21135,720452,720449,99999,99999,19.73393317,34.62860593,Lewis,Kentucky,27.46881759,13275
21137,720448,720455,00144,99999,10.38600573,21.72107049,Lincoln,Kentucky,73.52198286,24549
21139,720170,724350,63851,03816,21.93265754,25.47608365,Livingston,Kentucky,29.36207585,9194
21141,746716,722072,93808,03894,26.16237285,34.05054253,Logan,Kentucky,49.08355506,27102
21143,720447,749077,00437,99999,29.24653933,36.77404973,Lyon,Kentucky,38.41339909,8210
21145,724350,720170,03816,63851,3.383219007,9.367946561,McCracken,Kentucky,263.0089957,65418
21147,720465,720379,99999,63882,16.31383637,22.13027255,McCreary,Kentucky,40.38074402,17231
21149,720443,999999,99999,00421,14.16648527,14.4611099,McLean,Kentucky,36.51501416,9207
21151,720455,720455,00145,99999,6.733945076,6.834069774,Madison,Kentucky,212.6288678,92987
21153,724190,720458,03889,00476,15.80017773,23.5783589,Magoffin,Kentucky,39.40262507,12161
21155,720445,720446,99999,99999,13.61127498,22.02650447,Marion,Kentucky,56.20481332,19273
21157,720447,724350,00437,03816,15.28254262,27.29178686,Marshall,Kentucky,103.2447214,31100
21159,720458,720464,00476,99999,7.611389725,16.8046156,Martin,Kentucky,48.74920721,11195
